"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"01:51:55.8156748","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:56.8184226","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:57.8097259","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:58.8068053","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:51:59.8196949","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:52:00.8120641","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:52:01.8118557","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:52:02.8236489","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:52:03.8145112","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:52:04.8082042","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:52:05.8172449","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:52:06.8120651","LightingService.exe","6180","Process Profiling","","SUCCESS","User Time: 9.1250000 seconds, Kernel Time: 10.8281250 seconds, Private Bytes: 31420416, Working Set: 52363264"
"01:52:07.2228432","LightingService.exe","6180","Thread Create","","SUCCESS","Thread ID: 8168"
"01:52:07.2230239","LightingService.exe","6180","RegQueryKey","HKCR","SUCCESS","Query: HandleTags, HandleTags: 0x1"
"01:52:07.2230308","LightingService.exe","6180","RegQueryKey","HKCR","SUCCESS","Query: Name"
"01:52:07.2230421","LightingService.exe","6180","RegOpenKey","HKCR\WOW6432Node\CLSID\{95775DC4-77AA-4E94-8CF6-68267EEF1856}","SUCCESS","Desired Access: Read"
"01:52:07.2230510","LightingService.exe","6180","RegSetInfoKey","HKCR\WOW6432Node\CLSID\{95775DC4-77AA-4E94-8CF6-68267EEF1856}","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
